open;high;low;close;volume;marketCap;timestamp
390.838108955;432.90459151;379.710891007;428.741782282;18480303525.53;48091569051.6055;"2020-08-13T00:00:00.000Z"
428.677267946;444.577754687;423.345861547;437.397839521;15064589987.09;49068474083.0404;"2020-08-14T00:00:00.000Z"
437.562995856;441.754600593;429.874590759;433.354926495;12416067894.22;48620820124.5334;"2020-08-15T00:00:00.000Z"
433.35059815;436.265828703;415.086255105;433.786609983;12168816874.5;48675162266.8596;"2020-08-16T00:00:00.000Z"
433.973761033;442.734973852;422.647281056;429.531252334;13227089409.92;48203426750.7282;"2020-08-17T00:00:00.000Z"
429.669619551;432.580295725;419.674107416;423.669315654;11978984078.57;47551407033.0556;"2020-08-18T00:00:00.000Z"
423.73860076;427.024649222;396.678341621;406.463786824;13137391166.85;45625864918.4277;"2020-08-19T00:00:00.000Z"
406.758913626;418.734448517;404.026103834;416.439794883;10043032427.16;46751356941.1;"2020-08-20T00:00:00.000Z"
416.148774123;418.637980133;387.441124032;389.126350308;11781796374;43690315907.4493;"2020-08-21T00:00:00.000Z"
389.031111405;396.466589196;382.814637548;395.835141215;10131847985.29;44448918221.5718;"2020-08-22T00:00:00.000Z"
395.562839161;396.490417399;385.039808917;391.384499842;8137303969.58;43954518396.1863;"2020-08-23T00:00:00.000Z"
391.678986309;409.388581223;389.314602569;408.144207149;10328860398.43;45842265022.6177;"2020-08-24T00:00:00.000Z"
408.07168495;408.527929724;374.355391228;384.001043035;12428442042.19;43135697974.0757;"2020-08-25T00:00:00.000Z"
383.977436834;391.873264036;378.705854974;386.466124211;9967343483.08;43417926668.4177;"2020-08-26T00:00:00.000Z"
386.60985557;395.349171508;374.866486409;382.632632123;10457777651.66;42992439543.4564;"2020-08-27T00:00:00.000Z"
382.629568423;397.757636387;381.273841602;395.874666093;9120674421.41;44485705031.5215;"2020-08-28T00:00:00.000Z"
395.687586586;405.616355393;393.037423129;399.921471038;8777703480.5;44945899479.8523;"2020-08-29T00:00:00.000Z"
399.616688464;428.663960122;399.608373495;428.395717595;11211948040.29;48151884394.293;"2020-08-30T00:00:00.000Z"
428.5090174;438.560318908;419.770175158;435.079745266;12774741797.13;48909170051.9544;"2020-08-31T00:00:00.000Z"
434.874437724;487.211889983;432.079179027;477.051924154;18862763755.96;53633933560.1349;"2020-09-01T00:00:00.000Z"
477.007884034;480.330985995;424.46001881;440.040506887;19691854013.51;49478789434.873;"2020-09-02T00:00:00.000Z"
440.239991898;449.532472075;381.129705491;385.671928369;19622845896.34;43370721325.6821;"2020-09-03T00:00:00.000Z"
384.671630472;402.411751082;371.636695541;388.241140415;16747106257.37;43665020996.3354;"2020-09-04T00:00:00.000Z"
388.0383992;394.172264436;316.774345734;335.260079079;29880047640.49;37710860057.8221;"2020-09-05T00:00:00.000Z"
335.334551778;359.764047796;319.041891045;353.362265679;27643678916.89;39751917522.7842;"2020-09-06T00:00:00.000Z"
353.450244604;358.211896204;326.254370324;352.673494754;21763614731.58;39679199319.9028;"2020-09-07T00:00:00.000Z"
353.202266511;355.562872591;328.816775373;337.602111896;17991403431.61;37988119626.6691;"2020-09-08T00:00:00.000Z"
337.824924824;359.164487377;332.164997639;351.110016528;14547933520.42;39512826169.5128;"2020-09-09T00:00:00.000Z"
351.42932317;377.393573135;351.111749802;368.101907072;31421134556.34;41430053162.3925;"2020-09-10T00:00:00.000Z"
368.118507843;376.630394506;355.582579956;374.695588755;27296269328.61;42177302259.4925;"2020-09-11T00:00:00.000Z"
374.595383839;387.538444729;367.842207238;387.183109613;13295405814.4;43588199421.8177;"2020-09-12T00:00:00.000Z"
387.519295759;388.959797641;354.340174183;365.570005047;15005899191.1;41160025962.3255;"2020-09-13T00:00:00.000Z"
365.699586133;384.485195289;357.569774822;377.268875067;17536695360.62;42482307939.3069;"2020-09-14T00:00:00.000Z"
377.154029026;381.508292952;363.606803421;364.83921823;16140584321.19;41087642852.7861;"2020-09-15T00:00:00.000Z"
364.743985856;372.767424109;356.682745906;365.812291316;16107612177.06;41202147932.0841;"2020-09-16T00:00:00.000Z"
365.865769814;393.901600481;364.795132142;389.019219686;19899531080.5;43821351213.4089;"2020-09-17T00:00:00.000Z"
389.33749501;391.90413319;376.964986793;384.364541978;14108357740.49;43302193327.1808;"2020-09-18T00:00:00.000Z"
384.041666526;387.076344806;378.724069452;385.544383604;11049507683.59;43440360814.8873;"2020-09-19T00:00:00.000Z"
385.597992859;385.597992859;367.094375211;371.052826188;12292195784.11;41812641074.3416;"2020-09-20T00:00:00.000Z"
371.400157647;375.737030935;336.068960729;341.78607406;17398267133.3;38519366614.9833;"2020-09-21T00:00:00.000Z"
341.723816802;346.600836529;336.855041313;344.503162317;12732578043.01;38830213877.7743;"2020-09-22T00:00:00.000Z"
344.58989639;344.67138869;318.9692106;321.11631734;12899346599.43;36196531454.27133;"2020-09-23T00:00:00.000Z"
320.98503098;351.46148325;318.54509133;349.35558514;15714304469.55;39384347821.51636;"2020-09-24T00:00:00.000Z"
349.41142898;357.77273229;339.01592078;352.18324474;14381086966.4;39707914545.58389;"2020-09-25T00:00:00.000Z"
352.35088228;355.8547722;348.10712132;355.48809037;13049148578.63;40085290850.31678;"2020-09-26T00:00:00.000Z"
354.95990364;361.98439917;349.8340809;357.43849724;13598126926.22;40309981003.8054;"2020-09-27T00:00:00.000Z"
357.92592143;366.43217282;354.54764955;355.15942359;14258455166.17;40057637361.28107;"2020-09-28T00:00:00.000Z"
354.36299867;360.35337688;352.14686547;359.75739393;11600013236.4;40581050364.06368;"2020-09-29T00:00:00.000Z"
360.03851516;361.17877475;353.32794307;359.93787376;11818610609.91;40606130497.96264;"2020-09-30T00:00:00.000Z"
360.30915387;369.26441153;346.47704424;353.20591482;14679481910.9;39851388059.37965;"2020-10-01T00:00:00.000Z"
352.94966671;354.11542445;336.46715072;346.2389138;14215390462.62;39069960289.619;"2020-10-02T00:00:00.000Z"
346.21862615;351.30770267;344.66657351;346.52208572;10060167888.73;39106512853.707;"2020-10-03T00:00:00.000Z"
346.60224072;354.04575338;345.13102069;352.5790067;10696959019.87;39794771395.67335;"2020-10-04T00:00:00.000Z"
352.73681335;355.21408732;349.67990382;353.95677154;11809507621.82;39954971652.353264;"2020-10-05T00:00:00.000Z"
353.9564786;354.98901089;338.00330599;340.81584538;12830796111.97;38476195645.38716;"2020-10-06T00:00:00.000Z"
340.94309675;342.45083035;334.54556532;341.80866898;11929918060.02;38592810957.35199;"2020-10-07T00:00:00.000Z"
342.04464056;352.21147935;335.64747907;350.76615934;13461017711.46;39608808456.55196;"2020-10-08T00:00:00.000Z"
351.11287601;368.31034262;348.20584341;365.59047723;13043501762.91;41287658659.50327;"2020-10-09T00:00:00.000Z"
365.40246353;378.26715439;365.35404174;370.96758819;13618484323.7;41899893524.12289;"2020-10-10T00:00:00.000Z"
370.92844542;377.24679039;369.82802948;375.14204941;12584512533;42376475414.90144;"2020-10-11T00:00:00.000Z"
374.79874473;395.12214851;366.64234153;387.7312655;15867455423.69;43805601681.190834;"2020-10-12T00:00:00.000Z"
387.14295868;387.37567314;375.58246671;381.19076126;14226744837.67;43072303017.794106;"2020-10-13T00:00:00.000Z"
381.97145394;387.29617035;374.17501021;379.48403791;13918846566.59;42884585295.289;"2020-10-14T00:00:00.000Z"
379.19222482;381.20878558;371.35411896;377.44184574;14964182545.5;42659015495.38777;"2020-10-15T00:00:00.000Z"
377.86850734;380.02150446;362.59741817;366.22901728;14670784817.43;41396681082.8815;"2020-10-16T00:00:00.000Z"
366.01571359;369.76813374;364.48902408;368.85594038;10951115359.49;41698592885.62688;"2020-10-17T00:00:00.000Z"
368.727532;378.59764251;368.12915441;378.21369795;11047103109.42;42761561163.7144;"2020-10-18T00:00:00.000Z"
378.46963677;383.31766175;373.7022567;379.93560927;12811242091.79;42961460205.991325;"2020-10-19T00:00:00.000Z"
379.71970042;380.76100319;367.60106147;369.13691491;13741586581.76;41745418861.36119;"2020-10-20T00:00:00.000Z"
369.05943203;400.62725335;368.72795616;392.18996695;20241324322.32;44354670581.87589;"2020-10-21T00:00:00.000Z"
391.48861746;420.14165637;391.27631152;413.77299269;15772846484.71;46795599920.856316;"2020-10-22T00:00:00.000Z"
414.05132696;418.95993444;403.08202999;409.76669164;14256222051.85;46356841439.75874;"2020-10-23T00:00:00.000Z"
409.76723415;416.59965573;407.85173005;412.45761883;12201739193.97;46666915712.11682;"2020-10-24T00:00:00.000Z"
412.45763097;417.15920556;405.35065889;406.2177613;10890207469.02;45966378924.705185;"2020-10-25T00:00:00.000Z"
406.21798565;411.2798721;383.78290059;393.88831313;15155684229.2;44576504573.78982;"2020-10-26T00:00:00.000Z"
